date,temperature,humidity,pressure,wind_speed,precipitation,season_sin,season_cos,rain
2026-04-27,0.13567839195979903,0.7714285714285715,0.7462121212121224,0.1409090909090909,0.0,0.9033558023,-0.4288919379,0
2026-04-28,0.2663316582914573,0.6,0.7234848484848487,0.0818181818181818,0.0,0.8958392907,-0.4443781781,0
2026-04-29,0.3718592964824121,0.38571428571428573,0.7424242424242428,0.2545454545454545,0.0,0.8880573226,-0.4597327395,0
2026-04-30,0.4422110552763819,0.21428571428571427,0.6401515151515176,0.3909090909090909,0.0,0.880012204,-0.4749510721,0
2026-05-01,0.5025125628140703,0.22857142857142856,0.45075757575757724,0.6227272727272728,0.0,0.8717063187,-0.4900286664,0
2026-05-02,0.2914572864321608,0.6285714285714286,0.22727272727272846,0.6727272727272727,13.9,0.863142128,-0.5049610547,1
2026-05-03,0.0904522613065327,0.7428571428571429,0.2765151515151512,1.0,8.6,0.8543221697,-0.5197438122,1
2026-05-04,0.09547738693467338,0.8285714285714286,0.4318181818181832,0.6181818181818182,15.3,0.8452490574,-0.5343725583,1
2026-05-05,0.07035175879396986,0.8285714285714286,0.7310606060606081,0.0818181818181818,0.7,0.8359254794,-0.5488429583,1
2026-05-06,0.07537688442211055,0.8428571428571429,0.7537878787878818,0.39545454545454545,2.7,0.8263541987,-0.5631507243,1
2026-05-07,0.005025125628140775,0.6,0.981060606060606,0.5272727272727272,0.0,0.8165380514,-0.5772916166,0
2026-05-08,0.07537688442211055,0.8428571428571429,1.0,0.4772727272727273,0.4,0.8064799463,-0.5912614449,1
2026-05-09,0.040201005025125656,0.9285714285714286,0.9734848484848553,0.09090909090909091,0.0,0.7961828638,-0.6050560696,0
2026-05-10,0.0,0.9,0.9772727272727306,0.10454545454545454,0.0,0.7856498551,-0.6186714033,0
